year,type,discipline,event,as,athlete_id,noc,team,place,tied,medal,First_Name,Last_Name
1972.0,Summer,Athletics,"400 metres, Women (Olympic)",Kamaljit Sandhu,71365,IND,,8.0,False,,Kamaljit,Sandhu
1988.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",Vandana Shanbagh,71366,IND,India,7.0,False,,Vandana,Shanbagh
1996.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",Jyotirmoyee Sikdar,71367,IND,India,1.0,False,,Jyotirmoyee,Sikdar
1980.0,Summer,Athletics,"100 metres, Women (Olympic)",P. T. Usha,71368,IND,,6.0,False,,P.,T.
1980.0,Summer,Athletics,"200 metres, Women (Olympic)",P. T. Usha,71368,IND,,7.0,False,,P.,T.
1984.0,Summer,Athletics,"400 metres Hurdles, Women (Olympic)",P. T. Usha,71368,IND,,4.0,False,,P.,T.
1984.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",P. T. Usha,71368,IND,India,7.0,False,,P.,T.
1988.0,Summer,Athletics,"400 metres Hurdles, Women (Olympic)",P. T. Usha,71368,IND,,7.0,False,,P.,T.
1988.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",P. T. Usha,71368,IND,India,,False,,P.,T.
1984.0,Summer,Athletics,"400 metres Hurdles, Women (Olympic)",M. D. Valsamma,71369,IND,,5.0,False,,M.,D.
1984.0,Summer,Athletics,"4 × 400 metres Relay, Women (Olympic)",M. D. Valsamma,71369,IND,India,7.0,False,,M.,D.
1980.0,Summer,Athletics,"800 metres, Women (Olympic)",Geeta Zutshi,71370,IND,,6.0,False,,Geeta,Zutshi
1980.0,Summer,Athletics,"1,500 metres, Women (Olympic)",Geeta Zutshi,71370,IND,,,False,,Geeta,Zutshi
1984.0,Summer,Athletics,"3,000 metres, Women (Olympic)",Geeta Zutshi,71370,IND,,8.0,False,,Geeta,Zutshi
1964.0,Summer,Athletics,"Marathon, Men (Olympic)",Balkrishan Akotkar,71371,IND,,33.0,False,,Balkrishan,Akotkar
1972.0,Summer,Athletics,"High Jump, Men (Olympic)",Suresh Babu,71372,IND,,40.0,False,,Suresh,Babu
1920.0,Summer,Athletics,"100 metres, Men (Olympic)",Purma Bannerjee,71373,IND,,5.0,False,,Purma,Bannerjee
1920.0,Summer,Athletics,"400 metres, Men (Olympic)",Purma Bannerjee,71373,IND,,4.0,False,,Purma,Bannerjee
1936.0,Summer,Athletics,"400 metres, Men (Olympic)",Gyan Bhalla,71374,IND,,5.0,False,,Gyan,Bhalla
1936.0,Summer,Athletics,"800 metres, Men (Olympic)",Gyan Bhalla,71374,IND,,8.0,False,,Gyan,Bhalla
1960.0,Summer,Athletics,"5,000 metres, Men (Olympic)",Ranjit Bhatia,71375,IND,,11.0,False,,Ranjit,Bhatia
1960.0,Summer,Athletics,"Marathon, Men (Olympic)",Ranjit Bhatia,71375,IND,,60.0,False,,Ranjit,Bhatia
1984.0,Summer,Athletics,"800 metres, Men (Olympic)",Charles Borromeo,71376,IND,,5.0,False,,Charles,Borromeo
1928.0,Summer,Athletics,"100 metres, Men (Olympic)",Ronald Burns,71377,IND,,6.0,False,,Ronald,Burns
1928.0,Summer,Athletics,"200 metres, Men (Olympic)",Ronald Burns,71377,IND,,4.0,False,,Ronald,Burns
1928.0,Summer,Athletics,"4 × 400 metres Relay, Men (Olympic)",Ronald Burns,71377,IND,British India,,False,,Ronald,Burns
1976.0,Summer,Athletics,"10,000 metres, Men (Olympic)",Hari Chand,71378,IND,,8.0,False,,Hari,Chand
1980.0,Summer,Athletics,"10,000 metres, Men (Olympic)",Hari Chand,71378,IND,,10.0,False,,Hari,Chand
1980.0,Summer,Athletics,"Marathon, Men (Olympic)",Hari Chand,71378,IND,,31.0,False,,Hari,Chand
1956.0,Summer,Athletics,"110 metres Hurdles, Men (Olympic)",Sri Chand Ram,71379,IND,,6.0,False,,Sri,Chand
1920.0,Summer,Athletics,"10,000 metres, Men (Olympic)",Phadeppa Chaugule,71380,IND,,1.0,False,,Phadeppa,Chaugule
1920.0,Summer,Athletics,"Marathon, Men (Olympic)",Phadeppa Chaugule,71380,IND,,19.0,False,,Phadeppa,Chaugule
1920.0,Summer,Athletics,"Cross-Country, Individual, Men (Olympic)",Phadeppa Chaugule,71380,IND,,,False,,Phadeppa,Chaugule
1928.0,Summer,Athletics,"5,000 metres, Men (Olympic)",D. B. Chavan,71381,IND,,,False,,D.,B.
1928.0,Summer,Athletics,"10,000 metres, Men (Olympic)",D. B. Chavan,71381,IND,,,False,,D.,B.
1964.0,Summer,Athletics,"4 × 100 metres Relay, Men (Olympic)",Anthony Coutinho,71382,IND,India,7.0,False,,Anthony,Coutinho
1920.0,Summer,Athletics,"Marathon, Men (Olympic)",Sadashir Datar,71383,IND,,,False,,Sadashir,Datar
1932.0,Summer,Athletics,"4 × 100 metres Relay, Men (Olympic)",Mehar Chand Dhawan,71384,IND,British India,5.0,False,,Mehar,Chand
